repunit	repunit_scenario	iter	true_repprop	reprop_posterior_mean	repu_n
May_Jun	All-May_Jun	57	1	0.983313621534529	48
May_Jun	All-May_Jun	58	1	0.982895852523482	48
May_Jun	All-May_Jun	59	1	0.982544316800937	48
May_Jun	All-May_Jun	60	1	0.983487327896992	48
May_Jun	All-May_Jun	61	1	0.983442605776097	48
May_Jun	All-May_Jun	62	1	0.983521540799096	48
May_Jun	All-May_Jun	63	1	0.983811237126658	48
May_Jun	All-May_Jun	64	1	0.982886418750459	48
May_Jun	All-May_Jun	66	1	0.983334931594956	48
May_Jun	All-May_Jun	67	1	0.98217093269359	48
May_Jun	All-May_Jun	68	1	0.983060368175196	48
May_Jun	All-May_Jun	69	1	0.98383489221613	48
May_Jun	All-May_Jun	70	1	0.984001355312366	48
May_Jun	All-May_Jun	71	1	0.98331865836182	48
May_Jun	All-May_Jun	72	1	0.984616400150403	48
May_Jun	All-May_Jun	73	1	0.984220774198503	48
May_Jun	All-May_Jun	74	1	0.983587650298581	48
May_Jun	All-May_Jun	75	1	0.981729978451267	48
May_Jun	All-May_Jun	76	1	0.983623343850002	48
May_Jun	All-May_Jun	77	1	0.983083383526771	48
May_Jun	All-May_Jun	78	1	0.983645927471857	48
May_Jun	All-May_Jun	79	1	0.983153256364628	48
May_Jun	All-May_Jun	80	1	0.982215651487902	48
May_Jun	All-May_Jun	82	1	0.984013633472101	48
May_Jun	All-May_Jun	83	1	0.984245742144983	48
May_Jun	All-May_Jun	84	1	0.983719441509367	48
May_Jun	All-May_Jun	86	1	0.983997863745942	48
May_Jun	All-May_Jun	87	1	0.983166595521221	48
May_Jun	All-May_Jun	88	1	0.983548275884916	48
May_Jun	All-May_Jun	89	1	0.982629568284737	48
May_Jun	All-May_Jun	90	1	0.983782788755057	48
May_Jun	All-May_Jun	92	1	0.983253444206201	48
May_Jun	All-May_Jun	93	1	0.982848635158261	48
May_Jun	All-May_Jun	94	1	0.979868657071348	48
May_Jun	All-May_Jun	95	1	0.983858773808669	48
May_Jun	All-May_Jun	96	1	0.983126824780066	48
May_Jun	All-May_Jun	97	1	0.983939592660619	48
May_Jun	All-May_Jun	99	1	0.983822990871014	48
May_Jun	All-May_Jun	100	1	0.983315212103543	48
